Question,Answer,Confidence,Last edited time,Reveal
What Is AWS?,AWS stands for Amazon Web Services. It’s a cloud services provider which makes use of Amazon’s infrastructure to make their profit.,Confident,"January 15, 2023 11:52 PM",No
What does it mean to mount something?,"Mounting refers to giving access to a specific file, directory or file system in a specific location of a given file system.

When you “mount” something you establish a mount point which looks like a shortcut speaking in desktop terms.",Confident,"January 16, 2023 12:15 AM",No
What Is SSL / TSL?,SSL stands for secure socket layer. It’s an layer used on top of HTTP used to encrypt traffic between server and client. TSL is used to refer to a newer version of SSL.,Expert,"January 16, 2023 12:04 AM",No
What Is An IP Address?,An IP address is used to identify a device within a network. It is used to send information forward between different devices.,Expert,"January 15, 2023 11:59 PM",No
What Is Server Name Indication?,Server Name indication refers to the client specifying  to the proxy / load balancer which hosts it wants to connect with.,Expert,"January 16, 2023 12:04 AM",No
What are AWS Availability Zones?,An availability zone is a cluster of data centers in a given AWS region.,Expert,"February 15, 2023 2:02 AM",No
What are AWS Regions?,AWS has data centers distributed all around the world. Regions are the zones where there is presence of AWS’ data centers.,Expert,"January 15, 2023 11:59 PM",No
What is Cloud Computing?,"Cloud computing is about renting infrastructure to consumers and billing for the usage.

It’s an answer to the old on-premise computing which required long-term planning before hand.",Confident,"February 1, 2023 12:30 AM",No
Where Can We Obtain Information About The AWS Bill Of The Month?,We can find billing information on the AWS billing dashboard. It can be used to obtain a detailed report of the services used in the current month.,Not Confident,"August 26, 2023 6:35 PM",No
How Can We Set Limits To Our Expenses / Costs?,We can create budgets and thresholds to our budgets by using the AWS Budgets service.,Not Confident,"August 26, 2023 6:35 PM",No
Which Types Of Payment Models Does AWS Offers In General?,"Paying in advance, paying on demand or paying for a subscription.",Expert,"March 15, 2023 11:37 AM",No
Where Can I Obtain Information About The AWS Services Status?,We can find information of the services’ health on the services health dashboard.,Somewhat Confident,"February 16, 2023 2:43 AM",No
What is meant by “AWS Responsibility Model”?,"The AWS responsibility model states that security is a shared responsibility between AWS and users. Each party is responsible for the things under their control.

AWS will strive for a highly reliably and secure infrastructure and we must strive for having good security practices with our credentials and secrets.",Confident,"January 16, 2023 12:15 AM",No
What Are The Ways We Have To Use with AWS?,"We can use the AWS CLI, the AWS Console, the AWS CDK and AWS SDK.",Expert,"January 15, 2023 11:59 PM",No
What Is IAM?,IAM is the service responsible for managing AWS access. We use it to control the allowed operations of AWS identities.,Confident,"January 15, 2023 11:50 PM",No
What Is An Identity?,An identity is an actor in AWS which can perform operation on AWS resources.,Confident,"January 15, 2023 11:50 PM",No
What Is AWS “Principle Of Least Power”?,It states that we should use minimum access needed when using AWS.,Expert,"January 16, 2023 12:04 AM",No
What Are Policies?,A policy is a collection of permissions that can be attached to an entity.,Confident,"January 15, 2023 11:49 PM",No
What Are Permissions?,"Permissions are rules that declare which operations an identity can be perform on an AWS resource.

They use a JSON format.",Confident,"January 15, 2023 11:49 PM",No
What Are Users?,Users represent a physical person of our organization.,Confident,"January 16, 2023 2:15 AM",No
What Are Roles?,A role is an identity which grants specific permissions to perform tasks in our behalf with other AWS resources.,Confident,"January 16, 2023 12:15 AM",No
How Should Users Be Created?,Each user must have their own account with a determined access level.,Archived,"January 16, 2023 2:16 AM",No
What Is A Good Rule Of Thumb For Roles?,Roles are intended to be used by anyone who need them.,Confident,"January 16, 2023 12:15 AM",No
