Name,Amount,Expense Frequency
iCloud Storage (2TB),"COP 27,900.00",Monthly
Cellphone Plan,"COP 71,250.00",Monthly
Apple Music,"COP 12,900.00",Monthly
Lourdes’ Pills,"COP 50,000.00",Monthly
1Password Subscription,"COP 227,590.00",Annual
Personal Page Domain,"COP 60,000.00",Annual
Lourdes’ Gifts,"COP 80,000.00",Monthly
Lourdes’ Colombo,"COP 319,000.00",Monthly
Lourdes’ English Professor,"COP 500,000.00",Monthly
Internet Service,"COP 130,000.00",Monthly
Saturday’s Dinner [AVG],"COP 320,000.00",Monthly
Electricity (50%) [AVG],"COP 250,000.00",Monthly
Rappi Prime,"COP 24,900.00",Monthly
YouTube Premium,"COP 26,900.00",Monthly
Cellphone Plan,"COP 65,900.00",Monthly
iCloud Storage (200GB),"COP 8,500.00",Monthly
Patreon,"COP 11,693.00",Monthly
1Password Subscription,"COP 116,000.00",Annual
Timery Subscription,"COP 31,900.00",Annual
Bear Subscription,"COP 42,900.00",Annual
Lourdes’ Gifts,"COP 30,000.00",Monthly
Saturday’s Dinner [AVG],"COP 240,000.00",Monthly
Electricity (50%) [AVG],"COP 220,000.00",Monthly
Lourdes’ English Professor,"COP 100,000.00",Monthly
Lourdes’ Colombo,"COP 121,000.00",Monthly
Housing Investment,"COP 242,000.00",Monthly
Apple One,"COP 64,500.00",Monthly
Family Water Service,"COP 100,000.00",Monthly
Galleta’s Quota,"COP 65,600.00",Monthly
Administration Service,"COP 304,000.00",Monthly
Lab Internet Service,"COP 120,000.00",Monthly
Lab Water Service,"COP 100,000.00",Monthly
Lab Electricity Service,"COP 500,000.00",Monthly
Lab Gas Service,"COP 30,000.00",Monthly
Apple One,"COP 74,500.00",Monthly
Galleta's Quota,"COP 85,400.00",Monthly
Cleaning Service,"COP 240,000.00",Monthly
Notion's Plus Plan,"COP 200,000.00",Annual
